id,date,totalDailySales,totalDailyOrders,locationId,importedAt
hs-38,2026-04-05,12454.52,135,loc-mock-1,2026-05-29T00:00:00.000Z
hs-39,2026-04-06,8210.28,92,loc-mock-1,2026-05-29T00:00:00.000Z
hs-40,2026-04-07,9414.44,101,loc-mock-1,2026-05-29T00:00:00.000Z
hs-41,2026-04-08,11393.68,111,loc-mock-1,2026-05-29T00:00:00.000Z
hs-42,2026-04-09,12299.69,128,loc-mock-1,2026-05-29T00:00:00.000Z
hs-43,2026-04-10,18175.13,182,loc-mock-1,2026-05-29T00:00:00.000Z
hs-44,2026-04-11,22610.74,241,loc-mock-1,2026-05-29T00:00:00.000Z
hs-45,2026-04-12,14135.97,130,loc-mock-1,2026-05-29T00:00:00.000Z
hs-46,2026-04-13,8840.35,81,loc-mock-1,2026-05-29T00:00:00.000Z
hs-47,2026-04-14,9389.29,102,loc-mock-1,2026-05-29T00:00:00.000Z
hs-48,2026-04-15,10086.46,105,loc-mock-1,2026-05-29T00:00:00.000Z
hs-49,2026-04-16,12945.05,124,loc-mock-1,2026-05-29T00:00:00.000Z
hs-50,2026-04-17,17688.64,176,loc-mock-1,2026-05-29T00:00:00.000Z
hs-51,2026-04-18,21065.1,236,loc-mock-1,2026-05-29T00:00:00.000Z
hs-52,2026-04-19,14263.29,141,loc-mock-1,2026-05-29T00:00:00.000Z
hs-53,2026-04-20,8239.19,88,loc-mock-1,2026-05-29T00:00:00.000Z
hs-54,2026-04-21,9912.29,91,loc-mock-1,2026-05-29T00:00:00.000Z
hs-55,2026-04-22,10630.73,110,loc-mock-1,2026-05-29T00:00:00.000Z
hs-56,2026-04-23,11903.48,115,loc-mock-1,2026-05-29T00:00:00.000Z
hs-57,2026-04-24,19471.64,181,loc-mock-1,2026-05-29T00:00:00.000Z
hs-58,2026-04-25,23955.11,224,loc-mock-1,2026-05-29T00:00:00.000Z
hs-59,2026-04-26,13093.35,138,loc-mock-1,2026-05-29T00:00:00.000Z
hs-60,2026-04-27,8982.34,86,loc-mock-1,2026-05-29T00:00:00.000Z
hs-61,2026-04-28,10371.06,97,loc-mock-1,2026-05-29T00:00:00.000Z
hs-62,2026-04-29,10589.41,113,loc-mock-1,2026-05-29T00:00:00.000Z
hs-63,2026-04-30,12357.45,116,loc-mock-1,2026-05-29T00:00:00.000Z
hs-64,2026-05-01,17580.89,200,loc-mock-1,2026-05-29T00:00:00.000Z
hs-65,2026-05-02,23297.84,225,loc-mock-1,2026-05-29T00:00:00.000Z
hs-66,2026-05-03,12516.03,128,loc-mock-1,2026-05-29T00:00:00.000Z
hs-67,2026-05-04,8333.76,93,loc-mock-1,2026-05-29T00:00:00.000Z
hs-68,2026-05-05,9398.56,104,loc-mock-1,2026-05-29T00:00:00.000Z
hs-69,2026-05-06,10678.35,105,loc-mock-1,2026-05-29T00:00:00.000Z
hs-70,2026-05-07,13202.45,124,loc-mock-1,2026-05-29T00:00:00.000Z
hs-71,2026-05-08,19580.41,200,loc-mock-1,2026-05-29T00:00:00.000Z
hs-72,2026-05-09,23027.04,242,loc-mock-1,2026-05-29T00:00:00.000Z
hs-73,2026-05-10,13114.77,144,loc-mock-1,2026-05-29T00:00:00.000Z
hs-74,2026-05-11,9128.37,82,loc-mock-1,2026-05-29T00:00:00.000Z
hs-75,2026-05-12,9673.92,93,loc-mock-1,2026-05-29T00:00:00.000Z
hs-76,2026-05-13,10411.9,106,loc-mock-1,2026-05-29T00:00:00.000Z
hs-77,2026-05-14,11879.39,125,loc-mock-1,2026-05-29T00:00:00.000Z
hs-78,2026-05-15,20114.85,198,loc-mock-1,2026-05-29T00:00:00.000Z
hs-79,2026-05-16,22318.49,222,loc-mock-1,2026-05-29T00:00:00.000Z
hs-80,2026-05-17,13391.35,139,loc-mock-1,2026-05-29T00:00:00.000Z
hs-81,2026-05-18,8755.74,95,loc-mock-1,2026-05-29T00:00:00.000Z
hs-82,2026-05-19,10401.7,101,loc-mock-1,2026-05-29T00:00:00.000Z
hs-83,2026-05-20,11098.39,116,loc-mock-1,2026-05-29T00:00:00.000Z
hs-84,2026-05-21,12157.51,125,loc-mock-1,2026-05-29T00:00:00.000Z
hs-85,2026-05-22,18867.97,199,loc-mock-1,2026-05-29T00:00:00.000Z
hs-86,2026-05-23,24049.34,235,loc-mock-1,2026-05-29T00:00:00.000Z
hs-87,2026-05-24,13216.42,129,loc-mock-1,2026-05-29T00:00:00.000Z
hs-88,2026-05-25,9209.2,95,loc-mock-1,2026-05-29T00:00:00.000Z
hs-89,2026-05-26,10625.69,106,loc-mock-1,2026-05-29T00:00:00.000Z
hs-90,2026-05-27,11477.26,105,loc-mock-1,2026-05-29T00:00:00.000Z
